Child ID,Village ID,Serial #1,Serial #2,Date #2,Serial #3,Date #3,Serial #4,Date #4,Serial #5,Date #5,Serial #6,Date #6,Serial #7,Date #7
EXTRA,122,6114000195,6111001011,2018-06-24,5b20002007,2018-11-13,,,,,,,,
EXTRA,122,6126000735,5A28001909,2018-06-24,6126000735,2018-10-09,5A27000246,2018-11-13,,,,,,
EXTRA,122,6116001787,6116001338,2018-06-24,6118002327,2018-11-13,,,,,,,,
SPARE,122,6116001928,5a21001111,2018-06-24,6130000207,2018-11-13,,,,,,,,
KMSVGT,123,6129001125,6118003053,2018-06-24,6118003354,2018-11-13,,,,,,,,
FCWTMU,123,6115001469,6116001592,2018-06-24,6116001555,2018-11-13,,,,,,,,
MZHESK,123,5A29001374,6130000195,2018-06-24,6116002431,2018-11-13,,,,,,,,
KTTAZM,123,6126000244,6118002835,2018-06-24,5A27001075,2018-09-03,6128000754,2018-11-13,,,,,,
FVYYCN,123,6116001797,6116002543,2018-06-24,5b12004776,2018-11-13,,,,,,,,
UHRAEA,123,6129000998,5a23002696,2018-06-24,6118002629,2018-11-13,,,,,,,,
KFFVMA,123,6129001258,6116001929,2018-06-24,6118002958,2018-11-13,,,,,,,,
RXQQHM,123,5B12002932,5a27001891,2018-06-24,6111000344,2018-11-13,,,,,,,,
SXYHAA,123,5B13002216,6116001140,2018-06-24,5B20001273,2018-11-13,,,,,,,,
VBFWPY,123,6130000041,6116002586,2018-06-24,5A29000335,2018-09-03,6118002206,2018-11-13,5A28002561,2019-01-07,,,,
ATNKUN,123,5B12002671,6116000795,2018-06-24,6116002501,2018-11-13,6113000968,2019-01-14,,,,,,
RQUABW,123,5A28001564,5b12002824,2018-06-24,5A28002201,2018-11-13,,,,,,,,
THNNSE,123,6116002089,6118002238,2018-06-24,6111001145,2018-11-13,,,,,,,,
SASSMP,123,6115000606,6115001552,2018-06-24,5a27001971,2018-11-13,6118002731,2019-01-14,,,,,,
STXTSS,123,6129001089,5b12003436,2018-06-24,5b12002459,2018-11-13,6111001615,2018-11-27,,,,,,
EXTRA,123,6118002776,5b20001908,2018-06-24,6116002347,2018-11-13,,,,,,,,
EXTRA,123,5A29001331,6116002484,2018-06-24,6129002307,2018-08-27,5A27001710,2018-11-13,,,,,,
EXTRA,123,6130000061,5a23001580,2018-06-24,6118001954,2018-11-13,,,,,,,,
EXTRA,123,5B12004737,5b20001410,2018-06-24,5a27001320,2018-11-13,,,,,,,,
EXTRA,123,6115000430,6116001644,2018-06-24,5a27001936,2018-11-13,,,,,,,,
EXTRA,123,6114000031,5a28002483,2018-06-24,6116001071,2018-11-13,,,,,,,,
SPARE,123,6128000713,6116001068,2018-06-24,6111001615,2018-11-13,,,,,,,,
YXAKBY,124,6116002488,6115001616,2018-06-14,6116001403,2018-11-13,,,,,,,,
SEQGKP,124,6116001449,6118003534,2018-06-14,5A29000627,2018-11-13,,,,,,,,
QZEGHP,124,6111000169,6118002741,2018-06-14,6118002535,2018-11-13,,,,,,,,
ZMSXRT,124,6116001480,6116001154,2018-06-14,6118003314,2018-11-13,,,,,,,,
UNRKPH,124,6115002461,6116000781,2018-06-14,5a27001817,2018-11-13,,,,,,,,
WSCFZA,124,5A28002156,5A27001907,2018-06-14,5a27001387,2018-11-13,,,,,,,,
NPZRZW,124,6116001438,6116001322,2018-06-14,6116001014,2018-07-02,5b20001441,2018-11-13,,,,,,
CGMEBT,124,6118003322,6115002170,2018-06-14,6116002132,2018-11-13,,,,,,,,
NSKYRU,124,6129001498,6116001725,2018-06-14,6116002067,2018-11-13,,,,,,,,
SFXFRW,124,6118001710,6116001327,2018-06-14,5A22001009,2018-11-13,,,,,,,,
FCARVR,124,5B12002544,6118002275,2018-06-14,6116000751,2018-11-13,6111002002,2018-12-18,,,,,,
MVMVQA,124,6116001428,6111001826,2018-06-14,6115000593,2018-11-13,6129001191,2019-01-08,,,,,,
QPXTKN,124,6127001828,6116002577,2018-06-14,5B13000552,2018-11-13,6115001132,2019-01-29,,,,,,
VUMMUR,124,5B12003721,6112001373,2018-06-14,5B14001673,2018-11-13,,,,,,,,
MSCRQF,124,5A27000959,5B23001012,2018-06-14,5B13002409,2018-11-13,,,,,,,,
ZWGAAV,124,6116002401,5A27001218,2018-06-14,6115001698,2018-11-13,,,,,,,,
HZKABP,124,6116001427,5A22001152,2018-06-14,6116002396,2018-11-13,,,,,,,,
NHZUHK,124,6115000433,6115001617,2018-06-14,5B20002278,2018-11-13,,,,,,,,
KAFHHE,124,6129001316,5A28001121,2018-06-14,6111001422,2018-11-13,,,,,,,,
KWGXXU,124,6118003235,6118002412,2018-06-14,5A28000327,2018-11-13,,,,,,,,
PQQGVT,124,6129001212,5A27001598,2018-06-14,6118003181,2018-11-13,,,,,,,,
SPARE,124,6128000842,6116001014,2018-06-14,6111002002,2018-11-13,,,,,,,,
