tablet_serial,storybook_id,start_time,end_time
6116001373,106,1484729542,
6116001373,404,1484729593,
6116001373,504,1484729643,
6116001373,107,1484729766,
6116001373,204,1484729802,
6116001373,504,1484729892,
6116001373,118,1484729923,
6116001373,117,1484729956,
6116001373,116,1484729989,
6116001373,104,1484741902,
6116001373,902,1484741912,
6116001373,402,1484741924,
6116001373,404,1484741982,
6116001373,302,1484742013,
6116001373,401,1484742051,
6116001373,108,1484742131,
6116001373,116,1484742164,
6116001373,ch,1484742650,
6116001373,114,1484742710,
6116001373,106,1484742760,
6116001373,106,1484742816,
6116001373,106,1484742974,
6116001373,204,1484742995,
6116001373,207,1484743016,
6116001373,104,1484743022,
6116001373,106,1484743034,
6116001373,106,1484743070,
6116001373,204,1484743100,
6116001373,504,1484743129,
6116001373,506,1484743165,
6116001373,407,1484743165,
6116001373,504,1484743235,
6116001373,502,1484743285,
6116001373,502,1484743364,
6116001476,a,947881279,
6116001476,e,947881297,
6116001476,f,947881319,
6116001476,g,947881331,
6116001476,ch,947881344,
6116001476,902,948932743,
6116001476,909,948932805,
6116001476,912,948932903,
6116001476,913,948933037,
6116001476,919,948933157,
6116001476,301,948933253,
6116001476,303,948933324,
6116001476,309,948933419,
6116001476,503,948934857,
6116001476,503,948934864,
6116001476,502,948935254,
6116001476,211,948935412,
6116001476,210,948935497,
6116001476,306,949005866,
6116001476,306,949005948,
6116001476,103,949113339,
6116001476,113,949113399,
6116001476,111,949113439,
6116001476,116,949113492,
6116001476,204,949113530,
6116001476,114,949113642,
6116001476,117,949113682,
6116001476,118,949113717,
6116001476,115,949113757,
6116001476,112,949113784,
6116001476,110,949113830,
6116001476,109,949113865,
6116001476,108,949113889,
6116001476,107,949113918,
6116001476,106,949113955,
6116001476,105,949114008,
6116001476,104,949114041,
6116001510,101,953971155,
6116001510,102,954056128,
6116001510,101,954056144,
6116001510,101,954056275,
6116001510,e,954056552,
6116001510,116,954056582,
6116001510,102,954478453,
6116001510,107,954478519,
6116001510,106,954478549,
6116001510,106,954478608,
6116001510,116,954478708,
6116001510,118,954478770,
6116001510,208,954478823,
6116001510,117,954478869,
6116001510,j,954667159,
6116001510,m,954667197,
6116001510,o,954667250,
6116001510,116,954667278,
6116001510,116,954667322,
6116001510,111,954667331,
6116001510,111,954667810,
6116001510,110,954667834,
6116001510,g,954668028,
6116001510,101,954678907,
6116001510,j,954678924,
6116001510,104,954679017,
6116001510,a,954852797,
6116001510,106,954853075,
6116001510,b,954853097,
6116001510,ch,954853128,
6116001510,d,954853154,
